X,Y,OBJECTID,DFGCONTROL,OESNUMBER,DATEOFINCI,TIMEOFINCI,INLANDMARI,SPECIFICLO,WATER,WATERWAY,LOCALECITY,LOCALECOUN,LATITUDE,LONGITUDE
-13160655.31,3995729.216,954,08FG0040,08-0026,2008/01/02 00:00:00+00,1735,Marine,Marine,Yes,Pacific Ocean,Long Beach,Los Angeles,33.753333,-118.224166
-13160717.21,3996510.211,955,08FG1494,Aug-65,2008/04/22 00:00:00+00,815,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.759166,-118.224722
-13160791.34,3999874.468,956,08FG2983,Aug-28,2008/09/10 00:00:00+00,1445,Inland,Fresh Water,Yes,storm drain,Wilmington,Los Angeles,33.784288,-118.225388
-13160892.54,4030855.668,957,08FG2244,Aug-86,2008/07/02 00:00:00+00,1324,Inland,Fresh Water,Yes,storm drain,Los Angeles,Los Angeles,34.015288,-118.226297
-13160916.36,3998667.363,958,08FG3727,Aug-66,2008/11/26 00:00:00+00,754,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.775275,-118.226511
-13161082.11,4002903.439,959,08FG0887,08-1563,2008/02/25 00:00:00+00,825,Marine,Marine,Yes,Dominguez Channel,Carson,Los Angeles,33.8069,-118.228
-13161168.61,3996778.41,960,08FG0931,08-1684,2008/02/28 00:00:00+00,1148,Marine,Marine,Yes,Pacific Ocean,Long Beach,Los Angeles,33.761169,-118.228777
-13161183.19,4040251.257,961,08FG0097,08-0132,2008/01/05 00:00:00+00,1,Inland,Fresh Water,Yes,Los Angeles River,Los Angeles,Los Angeles,34.085219,-118.228908
-13161201.45,3997982.103,962,08FG0629,08-1043,2008/02/03 00:00:00+00,1100,Inland,Fresh Water,Yes,Cerritos Channel,Los Angeles,Los Angeles,33.770158,-118.229072
-13161223.38,4055361.516,963,08FG3324,Aug-31,2008/10/14 00:00:00+00,1800,Inland,Fresh Water,Yes,Catch Basin / Los Angeles River,Los Angeles,Los Angeles,34.197563,-118.229269
-13161238.85,3995105.85,964,08FG2649,Aug-41,2008/08/12 00:00:00+00,1120,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.748677,-118.229408
-13161307.2,4055465.554,965,08FG1653,Aug-03,2008/05/05 00:00:00+00,800,Inland,Fresh Water,Yes,storm drain,Glendale,Los Angeles,34.198336,-118.230022
-13161555.22,4050935.195,966,08FG1648,Aug-85,2008/05/05 00:00:00+00,2145,Inland,Fresh Water,Yes,Storm Drain/LA River,Glendale,Los Angeles,34.164669,-118.23225
-13161572.81,3995897.648,967,08FG1981,Aug-72,2008/06/07 00:00:00+00,955,Marine,Marine,Yes,Pacific Ocean-Long Beach Harbor,Long Beach,Los Angeles,33.754591,-118.232408
-13161588.84,4025171.101,968,08FG3512,Aug-19,2008/11/03 00:00:00+00,1350,Inland,Fresh Water,Yes,Storm Drain,Los Angeles,Los Angeles,33.97295,-118.232552
-13161591.4,4005228.755,969,08FG3031,Aug-42,2008/09/15 00:00:00+00,1315,Marine,Marine,Yes,Dominguez Channel,Carson,Los Angeles,33.824255,-118.232575
-13161624.13,4014076.507,970,08FG3682,Aug-64,2008/11/21 00:00:00+00,930,Inland,Fresh Water,Yes,Storm Drain,Compton,Los Angeles,33.890258,-118.232869
-13161702.94,3992788.474,971,08FG4042,Aug-33,2008/12/25 00:00:00+00,929,Marine,Marine,Yes,"Pacific Ocean, Inner Harbor of Long Beach Harbor",Long Beach,Los Angeles,33.731366,-118.233577
-13161726.76,4006235.266,972,08FG3524,Aug-46,2008/11/04 00:00:00+00,1150,Inland,Fresh Water,Yes,Storm Drain,Long Beach,Los Angeles,33.831766,-118.233791
-13161816.15,4000860.818,973,08FG0762,08-1317,2008/02/13 00:00:00+00,1620,Marine,Marine,Yes,Dominquez Channel,Wilmington,Los Angeles,33.791652,-118.234594
-13161905.21,4030969.554,974,08FG2875,Aug-57,2008/08/30 00:00:00+00,1300,Inland,Fresh Water,Yes,"Storm Drain, unknown where it runs to",Los Angeles,Los Angeles,34.016136,-118.235394
-13162037.24,4049192.671,975,08FG2086,Aug-01,2008/06/17 00:00:00+00,1645,Inland,Fresh Water,Yes,storm drain,Glendale,Los Angeles,34.151716,-118.23658
-13162105.25,4028077.881,976,08FG3963,Aug-66,2008/12/17 00:00:00+00,1000,Inland,Fresh Water,Yes,Storm Drain,Vernon,Los Angeles,33.994602,-118.237191
-13162295.49,3996768.769,977,08FG2994,Aug-51,2008/09/11 00:00:00+00,1100,Marine,Marine,Yes,storm drain/Los Angeles Harbor,Los Angeles,Los Angeles,33.761097,-118.2389
-13162336.9,3996896.645,978,08FG0168,08-0244,2008/01/07 00:00:00+00,1407,Inland,Fresh Water,Yes,Storm Drain,Long Beach,Los Angeles,33.762052,-118.239272
-13162443.22,4041593.157,979,08FG1778,Aug-90,2008/05/18 00:00:00+00,1506,Inland,Fresh Water,Yes,Storm drain,Los Angeles,Los Angeles,34.095202,-118.240227
-13162487.74,3997461.322,980,08FG2185,Aug-63,2008/06/26 00:00:00+00,1800,Marine,Marine,Yes,Cerritos Channel,Los Angeles,Los Angeles,33.766269,-118.240627
-13162566,4000699.814,981,08FG2516,Aug-29,2008/07/30 00:00:00+00,445,Marine,Marine,Yes,storm drain,Wilmington,Los Angeles,33.79045,-118.24133
-13162601.29,3999193.02,982,08FG2705,Aug-75,2008/08/16 00:00:00+00,730,Marine,Marine,Yes,Los Angeles Harbor,Wilmington,Los Angeles,33.7792,-118.241647
-13162601.29,3999193.02,983,08FG2395,Aug-52,2008/07/17 00:00:00+00,1500,Marine,Marine,Yes,"Cerritos Channel, Tributary of Los Angeles Harbor",Wilmington,Los Angeles,33.7792,-118.241647
-13162601.29,3999193.02,984,08FG2993,Aug-50,2008/09/11 00:00:00+00,900,Marine,Marine,Yes,Los Angeles Harbor,Wilmington,Los Angeles,33.7792,-118.241647
-13162697.14,4046455.594,985,08FG3774,Aug-50,2008/11/29 00:00:00+00,1807,Inland,Fresh Water,Yes,Storm drain to Los Angeles River,Glendale,Los Angeles,34.131366,-118.242508
-13162772.83,3993049.491,986,08FG3086,Aug-66,2008/09/21 00:00:00+00,1430,Marine,Marine,Yes,Pacific Ocean,Terminal Island,Los Angeles,33.733316,-118.243188
-13162796.99,3997281.351,987,08FG3408,Aug-88,2008/10/24 00:00:00+00,1400,Marine,Marine,Yes,Cerritos Channel,Los Angeles,Los Angeles,33.764925,-118.243405
-13162964.64,3994802.48,988,08FG2392,Aug-39,2008/07/17 00:00:00+00,1105,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.746411,-118.244911
-13163096.99,3994192.953,989,08FG0298,08-0494,2008/01/16 00:00:00+00,1650,Marine,Marine,Yes,Terminal Island berth 302,San Pedro,Los Angeles,33.741858,-118.2461
-13163142.19,3998481.212,990,08FG1570,Aug-36,2008/04/30 00:00:00+00,415,Marine,Marine,Yes,"Wilmington Harbor, Tributary of Los Angeles Harbor",Wilmington,Los Angeles,33.773885,-118.246506
-13163258.63,3995338.269,991,08FG1385,Aug-07,2008/04/10 00:00:00+00,1507,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.750413,-118.247552
-13163523.35,3997125.753,992,08FG0875,08-1548,2008/02/24 00:00:00+00,1100,Marine,Marine,Yes,East Basin,Wilmington,Los Angeles,33.763763,-118.24993
-13163563.54,4042535.66,993,08FG1314,Aug-65,2008/04/04 00:00:00+00,1125,Inland,Fresh Water,Yes,Storm Drain,Los Angeles,Los Angeles,34.102213,-118.250291
-13163588.03,4060072.854,994,08FG1608,Aug-13,2008/05/02 00:00:00+00,1400,Inland,Fresh Water,Yes,Storm drain,Glendale,Los Angeles,34.232561,-118.250511
-13163612.07,3992754.341,995,08FG3497,Aug-86,2008/11/02 00:00:00+00,1224,Marine,Marine,Yes,Los Angeles Harbor,San Pedro,Los Angeles,33.731111,-118.250727
-13163628.55,3995476.705,996,08FG1071,Aug-22,2008/03/13 00:00:00+00,1100,Marine,Marine,Yes,storm drain,Los Angeles,Los Angeles,33.751447,-118.250875
-13163716.59,3844753.561,997,08FG3836,Aug-03,2008/12/04 00:00:00+00,2009,Marine,Marine,Yes,Pacific Ocean,San Diego,San Diego,32.618333,-118.251666
-13164000.46,3998632.275,998,08FG4017,Aug-89,2008/12/22 00:00:00+00,1745,Inland,Fresh Water,Yes,Storm Drain/Los Angeles Harbor,Wilmington,Los Angeles,33.775013,-118.254216
-13164458.43,3996956.633,999,08FG2136,Aug-33,2008/06/21 00:00:00+00,1600,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.7625,-118.25833
-13164558.29,3992107.312,1000,08FG3832,Aug-92,2008/12/05 00:00:00+00,724,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.726277,-118.259227
-13164674.95,4050097.329,1001,08FG3873,Aug-75,2008/12/08 00:00:00+00,1550,Inland,Fresh Water,Yes,Storm Drain,Glendale,Los Angeles,34.158441,-118.260275
-13164706.12,4004100.271,1002,08FG1718,Aug-57,2008/05/13 00:00:00+00,645,Inland,Fresh Water,Yes,flood control channel,Harbor City,Los Angeles,33.815833,-118.260555
-13164737.62,4016128.863,1003,08FG0757,08-1302,2008/02/13 00:00:00+00,735,Inland,Fresh Water,Yes,storm drain/dry,Compton,Los Angeles,33.905561,-118.260838
-13164802.3,4025951.826,1004,08FG0358,08-0618,2008/01/22 00:00:00+00,800,Inland,Fresh Water,Yes,Storm Drain,Los Angeles,Los Angeles,33.978766,-118.261419
-13164836.58,3997416.998,1005,08FG2691,Aug-37,2008/08/15 00:00:00+00,700,Marine,Marine,Yes,Pacific Ocean,Long Beach,Los Angeles,33.765938,-118.261727
-13164977.96,3995157.528,1006,08FG3374,Aug-83,2008/10/21 00:00:00+00,1045,Inland,Fresh Water,Yes,Storm Drain,San Pedro,Los Angeles,33.749063,-118.262997
-13165267.72,3996152.443,1007,08FG2542,Aug-96,2008/08/01 00:00:00+00,1030,Marine,Marine,Yes,Los Angeles Harbor,Wilmington,Los Angeles,33.756494,-118.2656
-13165274.29,3996523.333,1008,08FG1579,Aug-56,2008/04/30 00:00:00+00,1725,Marine,Marine,Yes,LA Harbor,Wilmington,Los Angeles,33.759264,-118.265659
-13165335.41,3991382.693,1009,08FG2447,Aug-70,2008/07/23 00:00:00+00,830,Marine,Marine,Yes,"Los Angeles Harbor, Pacific Ocean",San Pedro,Los Angeles,33.720863,-118.266208
-13165406.88,4051980.46,1010,08FG1282,Aug-85,2008/04/01 00:00:00+00,2030,Inland,Fresh Water,Yes,Storm drain,Glendale,Los Angeles,34.172438,-118.26685
-13165410.21,3996733.42,1011,08FG2219,Aug-25,2008/06/30 00:00:00+00,1220,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.760833,-118.26688
-13165410.21,3996733.42,1012,08FG2796,Aug-62,2008/08/24 00:00:00+00,1000,Marine,Marine,Yes,LA Channel,Los Angeles,Los Angeles,33.760833,-118.26688
-13165410.21,3996733.42,1013,08FG2609,Aug-49,2008/08/08 00:00:00+00,800,Marine,Marine,Yes,Los Angeles Harbor,San Pedro,Los Angeles,33.760833,-118.26688
-13165410.21,3996733.42,1014,08FG2150,Aug-67,2008/06/23 00:00:00+00,1202,Marine,Marine,Yes,LA Harbor-Pacific Ocean,Los Angeles,Los Angeles,33.760833,-118.26688
-13165476.11,3995797.231,1015,08FG2704,Aug-74,2008/08/16 00:00:00+00,640,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.753841,-118.267472
-13165476.11,3995797.231,1016,08FG2187,Aug-67,2008/06/27 00:00:00+00,632,Marine,Marine,Yes,Cerritos Channel / Los Angeles Harbor,Los Angeles,Los Angeles,33.753841,-118.267472
-13165547.25,3993454.415,1017,08FG3256,Aug-44,2008/10/07 00:00:00+00,715,Marine,Marine,Yes,Pacific Ocean,Los Angeles,Los Angeles,33.736341,-118.268111
-13165703.65,3993937.799,1018,08FG1330,Aug-92,2008/04/06 00:00:00+00,910,Marine,Marine,Yes,storm drain to Los Angeles Harbor,Terminal Island,Los Angeles,33.739952,-118.269516
-13165730.59,3993254.428,1019,08FG2288,Aug-81,2008/07/08 00:00:00+00,630,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.734847,-118.269758
-13165791.82,3991915.111,1020,08FG0180,08-0259,2008/01/07 00:00:00+00,1730,Marine,Marine,Yes,Port of LA main channel,San Pedro,Los Angeles,33.724841,-118.270308
-13165815.64,4005155.458,1021,08FG0336,08-0582,2008/01/20 00:00:00+00,2220,Inland,Fresh Water,Yes,Storm Drain into unknown waterway,Carson,Los Angeles,33.823708,-118.270522
-13165832.89,3993596.175,1022,08FG0167,08-0243,2008/01/07 00:00:00+00,1000,Marine,Marine,Yes,San Pedro Harbor,San Pedro,Los Angeles,33.7374,-118.270677
-13165886.1,3992874.809,1023,08FG3590,Aug-12,2008/11/11 00:00:00+00,945,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.732011,-118.271155
-13165904.03,3992674.698,1024,08FG2198,Aug-91,2008/06/28 00:00:00+00,1230,Marine,Marine,Yes,Los Angeles Harbor,Terminal Island,Los Angeles,33.730516,-118.271316
-13165904.03,3992674.698,1025,08FG2494,Aug-68,2008/07/27 00:00:00+00,815,Marine,Marine,Yes,Los Angeles Berth 240,Terminal Island,Los Angeles,33.730516,-118.271316
-13165904.03,3992674.698,1026,08FG3362,Aug-44,2008/10/20 00:00:00+00,725,Marine,Marine,Yes,Main Channel,Terminal Island,Los Angeles,33.730516,-118.271316
-13165907.81,3996531.099,1027,08FG2110,Aug-52,2008/06/19 00:00:00+00,930,Marine,Marine,Yes,Long Beach Harbor,Wilmington,Los Angeles,33.759322,-118.27135
-13165937.42,4003050.406,1028,08FG1952,Aug-00,2008/06/04 00:00:00+00,1745,Inland,Fresh Water,Yes,Storm drain,Carson,Los Angeles,33.807997,-118.271616
-13165973.94,4009833.349,1029,08FG0285,08-0466,2008/01/15 00:00:00+00,1615,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.858611,-118.271944
-13166066.67,3998556.074,1030,08FG1727,Aug-75,2008/05/13 00:00:00+00,1110,Marine,Marine,Yes,Los Angeles Harbor,Wilmington,Los Angeles,33.774444,-118.272777
-13166067.67,3990623.191,1031,08FG2905,Aug-36,2008/09/03 00:00:00+00,145,Marine,Marine,Yes,San Pedro Bay,Los Angeles,Los Angeles,33.715188,-118.272786
-13166067.67,3990623.191,1032,08FG2847,Aug-07,2008/08/29 00:00:00+00,140,Marine,Marine,Yes,Los Angeles Harbor,Los Angeles,Los Angeles,33.715188,-118.272786
-13166067.67,3990623.191,1033,08FG3421,Aug-16,2008/10/26 00:00:00+00,925,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.715188,-118.272786
-13166083.47,3994411.029,1034,08FG1837,Aug-31,2008/05/24 00:00:00+00,0,Marine,Marine,Yes,"Drain, Main Channel Los Angeles Harbor",Los Angeles,Los Angeles,33.743487,-118.272928
-13166155.16,3994447.978,1035,08FG2035,Aug-81,2008/06/12 00:00:00+00,955,Marine,Marine,Yes,Ceritos Channel,Los Angeles,Los Angeles,33.743763,-118.273572
-13166190.34,3995617.687,1036,08FG0037,08-0023,2008/01/02 00:00:00+00,1615,Marine,Marine,Yes,San Pedro Harbor,San Pedro,Los Angeles,33.7525,-118.273888
-13166242.99,3992537.902,1037,08FG2856,Aug-25,2008/08/29 00:00:00+00,1258,Marine,Marine,Yes,L.A. Main Channel,Los Angeles,Los Angeles,33.729494,-118.274361
-13166255.35,3992559.586,1038,08FG0955,08-1742,2008/03/01 00:00:00+00,1200,Marine,Marine,Yes,"Port of Los Angeles, near the Jankovich Fuel Dock",San Pedro,Los Angeles,33.729656,-118.274472
-13166314.13,3992578.86,1039,08FG0891,08-1567,2008/02/25 00:00:00+00,900,Marine,Marine,Yes,Storm Drain,San Pedro,Los Angeles,33.7298,-118.275
-13166343.4,3992546.067,1040,08FG0509,08-0845,2008/01/27 00:00:00+00,1200,Marine,Marine,Yes,Pacific Ocean,Los Angeles,Los Angeles,33.729555,-118.275263
-13166425.45,3992726.098,1041,08FG1345,Aug-24,2008/04/07 00:00:00+00,900,Marine,Marine,Yes,Port of Los Angeles,San Pedro,Los Angeles,33.7309,-118.276
-13166429.68,3992726.365,1042,08FG2206,Aug-05,2008/06/29 00:00:00+00,1955,Marine,Marine,Yes,Los Angeles Harbor,San Pedro,Los Angeles,33.730902,-118.276038
-13166429.68,3992726.365,1043,08FG1675,Aug-53,2008/05/08 00:00:00+00,1020,Marine,Marine,Yes,Los Angeles Harbor,San Pedro,Los Angeles,33.730902,-118.276038
-13166429.68,3992726.365,1044,08FG1688,Aug-85,2008/05/09 00:00:00+00,1200,Marine,Marine,Yes,Los Angeles Channel,Los Angeles,Los Angeles,33.730902,-118.276038
-13166436.8,4014690.713,1045,08FG1038,Aug-41,2008/03/10 00:00:00+00,830,Inland,Fresh Water,Yes,Storm drain,Gardena,Los Angeles,33.894838,-118.276102
-13166482,3994969.694,1046,08FG3714,Aug-43,2008/11/25 00:00:00+00,1300,Marine,Marine,Yes,San Pedro Harbor,Los Angeles,Los Angeles,33.74766,-118.276508
-13166482,3994983.885,1047,08FG3001,Aug-70,2008/09/12 00:00:00+00,850,Marine,Marine,Yes,Port of Los Angeles,San Pedro,Los Angeles,33.747766,-118.276508
-13166484.11,3994462.169,1048,08FG0779,08-1358,2008/02/15 00:00:00+00,1115,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.743869,-118.276527
-13166532.65,3993966.447,1049,08FG1942,Aug-70,2008/06/03 00:00:00+00,1655,Marine,Marine,Yes,Los Angeles Harbor,San Pedro,Los Angeles,33.740166,-118.276963
-13166571.05,3994937.027,1050,08FG3407,Aug-87,2008/10/24 00:00:00+00,1215,Marine,Marine,Yes,Pacific Ocean,Long Beach,Los Angeles,33.747416,-118.277308
-13166613.13,4015365.842,1051,08FG1386,Aug-09,2008/04/10 00:00:00+00,1605,Inland,Fresh Water,Yes,Storm drain,Los Angeles,Los Angeles,33.899872,-118.277686
-13166623.26,3992726.365,1052,08FG1532,Aug-58,2008/04/26 00:00:00+00,1715,Marine,Marine,Yes,Los Angeles Main Channel,San Pedro,Los Angeles,33.730902,-118.277777
-13166658.44,3993945.831,1053,08FG1689,Aug-87,2008/05/09 00:00:00+00,1415,Marine,Marine,Yes,Los Angeles Main Channel,San Pedro,Los Angeles,33.740012,-118.278093
-13166662.22,3996329.451,1054,08FG3135,Aug-91,2008/09/26 00:00:00+00,630,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.757816,-118.278127
-13166683.26,3995239.731,1055,08FG2975,Aug-12,2008/09/10 00:00:00+00,900,Marine,Marine,Yes,La Soritas Channel/Port of L.A.,Wilmington,Los Angeles,33.749677,-118.278316
-13166730.91,3995220.854,1056,08FG2479,Aug-44,2008/07/25 00:00:00+00,1750,Marine,Marine,Yes,Los Angeles Harbor Berth 189,Los Angeles,Los Angeles,33.749536,-118.278744
-13166786.23,3991086.783,1057,08FG1563,Aug-18,2008/04/29 00:00:00+00,1015,Marine,Marine,Yes,San Pedro Harbor,San Pedro,Los Angeles,33.718652,-118.279241
-13166844.68,4006228.163,1058,08FG2233,Aug-60,2008/07/01 00:00:00+00,1740,Inland,Fresh Water,Yes,Storm Drain,Carson,Los Angeles,33.831713,-118.279766
-13166880.52,4014493.305,1059,08FG2937,Aug-00,2008/09/05 00:00:00+00,1709,Inland,Fresh Water,Yes,Storm Drain to an unknown waterway,Gardena,Los Angeles,33.893366,-118.280088
-13166906.91,4013574.036,1060,08FG3173,Aug-54,2008/09/27 00:00:00+00,900,Inland,Fresh Water,Yes,Storm drain,Gardena,Los Angeles,33.886511,-118.280325
-13166924.16,4001339.424,1061,08FG1400,Aug-41,2008/04/12 00:00:00+00,1142,Inland,Fresh Water,Yes,Storm drain,Wilmington,Los Angeles,33.795225,-118.28048
-13166937.18,3991006.215,1062,08FG2721,Aug-04,2008/08/17 00:00:00+00,1312,Marine,Marine,Yes,Cabrilo Marina,San Pedro,Los Angeles,33.71805,-118.280597
-13166971.14,3990994.973,1063,08FG3420,Aug-15,2008/10/26 00:00:00+00,945,Marine,Marine,Yes,Los Angeles Harbor,San Pedro,Los Angeles,33.717966,-118.280902
-13167025.24,4023447.412,1064,08FG1873,Aug-11,2008/05/28 00:00:00+00,1254,Inland,Fresh Water,Yes,Storm Drain,Los Angeles,Los Angeles,33.960108,-118.281388
-13167279.16,3991774.576,1065,08FG3005,Aug-74,2008/09/12 00:00:00+00,1000,Marine,Marine,Yes,Cabrillo Marina/Los Angeles Harbor,San Pedro,Los Angeles,33.723791,-118.283669
-13167404.39,4000755.937,1066,08FG1243,Aug-88,2008/03/28 00:00:00+00,815,Inland,Fresh Water,Yes,machado lake,Wilmington,Los Angeles,33.790869,-118.284794
-13167628.59,4038054.931,1067,08FG0776,08-1352,2008/02/14 00:00:00+00,2258,Inland,Fresh Water,Yes,storm drain,Hollywood,Los Angeles,34.068877,-118.286808
-13167718.87,4052714.988,1068,08FG1033,Aug-28,2008/03/09 00:00:00+00,1130,Inland,Fresh Water,Yes,"Storm Drain, runs to the Los Angeles River",Glendale,Los Angeles,34.177897,-118.287619
-13167812.49,4001718.921,1069,08FG1667,Aug-36,2008/05/07 00:00:00+00,1607,Inland,Fresh Water,Yes,Storm Drain / Unknown nearby Creek,Los Angeles,Los Angeles,33.798058,-118.28846
-13167875.38,4002581.91,1070,08FG2268,Aug-38,2008/07/05 00:00:00+00,1958,Inland,Fresh Water,Yes,Los Angeles River,Carson,Los Angeles,33.8045,-118.289025
-13168095.8,4012005.882,1071,08FG3185,Aug-99,2008/09/30 00:00:00+00,1400,Inland,Fresh Water,Yes,Storm Drain,Gardena,Los Angeles,33.874816,-118.291005
-13168200.33,3993944.225,1072,08FG1367,Aug-69,2008/04/09 00:00:00+00,1205,Marine,Marine,Yes,Long Beach Harbor,Long Beach,Los Angeles,33.74,-118.291944
-13168201.03,4462296.242,1073,08FG2846,Aug-06,2008/08/28 00:00:00+00,2154,Inland,Fresh Water,Yes,Storm Drain,Big Pine,Inyo,37.16618,-118.29195
-13168526.27,4021555.171,1074,08FG1782,Aug-96,2008/05/18 00:00:00+00,1330,Inland,Fresh Water,Yes,storm drain,Unincorporated County,Los Angeles,33.946008,-118.294872
-13169225.13,3996335.476,1075,08FG1870,Aug-94,2008/05/27 00:00:00+00,2215,Inland,Fresh Water,Yes,Storm drain,Palos Verdes,Los Angeles,33.757861,-118.30115
-13169371.63,4055931.381,1076,08FG0345,08-0599,2008/01/21 00:00:00+00,1335,Marine,Marine,Yes,Los Angeles River,Los Angeles,Los Angeles,34.201797,-118.302466
-13170209.98,3999797.455,1077,08FG0219,08-0335,2008/01/09 00:00:00+00,2200,Inland,Fresh Water,Yes,Storm drain,Lomita,Los Angeles,33.783713,-118.309997
-13170530.58,3996630.317,1078,08FG2178,Aug-50,2008/06/26 00:00:00+00,845,Inland,Fresh Water,Yes,"Storm Drain, runs to flood control",Rancho Palos Verdes,Los Angeles,33.760063,-118.312877
-13170565.88,4168649.665,1079,08FG0662,08-1103,2008/01/30 00:00:00+00,1530,Inland,Fresh Water,Yes,Oak Creek Drainage,Mojave,Kern,35.035077,-118.313194
-13171062.13,4009792.329,1080,08FG1084,Aug-59,2008/03/14 00:00:00+00,913,Inland,Fresh Water,Yes,storm drain...feeding ocean,Torrance,Los Angeles,33.858305,-118.317652
-13171569.86,4040021.685,1081,08FG0288,08-0473,2008/01/16 00:00:00+00,830,Inland,Fresh Water,Yes,Storm Drain,Hollywood,Los Angeles,34.083511,-118.322213
-13171599.02,3941272.376,1082,08FG3083,Aug-57,2008/09/21 00:00:00+00,400,Marine,Marine,Yes,Cat Harbor / Pacific Ocean,Unincorporated county area,Los Angeles,33.345636,-118.322475
-13171904.15,3941305.957,1083,08FG0652,08-0694,2008/01/25 00:00:00+00,300,Marine,Marine,Yes,Pacific Ocean,Avalon,Los Angeles,33.345888,-118.325216
-13171910.94,3941124.594,1084,08FG1292,Aug-01,2008/04/02 00:00:00+00,1146,Marine,Marine,Yes,Port of Avalon,Avalon,Los Angeles,33.344527,-118.325277
-13172040.52,4018702.104,1085,08FG3586,Aug-04,2008/11/11 00:00:00+00,930,Inland,Fresh Water,Yes,Storm Drain,Inglewood,Los Angeles,33.924744,-118.326441
-13172045.52,3941760.243,1086,08FG2761,Aug-89,2008/08/20 00:00:00+00,1600,Marine,Marine,Yes,Catalina Island,Avalon,Los Angeles,33.349297,-118.326486
-13172120.33,3994736.21,1087,08FG1844,Aug-38,2008/05/24 00:00:00+00,1730,Inland,Fresh Water,Yes,Storm drain that leads to unknown location.,Rancho Palos Verdes,Los Angeles,33.745916,-118.327158
-13172384.38,3942401.79,1088,08FG2831,Aug-52,2008/08/27 00:00:00+00,900,Marine,Marine,Yes,Avalon Harbor,Avalon,Los Angeles,33.354111,-118.32953
-13172436.7,3943186.648,1089,08FG2824,Aug-30,2008/08/26 00:00:00+00,1400,Marine,Marine,Yes,Avalon Bay,Avalon,Los Angeles,33.36,-118.33
-13172437.26,4091645.951,1090,08FG3043,Aug-68,2008/09/16 00:00:00+00,1231,Inland,Fresh Water,Yes,unknown creek,Unincorporated county area,Los Angeles,34.466725,-118.330005
-13172528.21,4011733.706,1091,08FG1649,Aug-89,2008/05/06 00:00:00+00,735,Inland,Fresh Water,Yes,Storm Drain / Domingues Channel / L.A. Storm Drain,Torrance,Los Angeles,33.872786,-118.330822
-13172811.51,3941887.91,1092,08FG0355,08-0615,2008/01/22 00:00:00+00,1000,Marine,Marine,Yes,Pacific Ocean,Long Beach,Los Angeles,33.350255,-118.333367
-13173139.8,4021053.444,1093,08FG3061,Aug-13,2008/09/17 00:00:00+00,2200,Inland,Fresh Water,Yes,Domiguez Channel,Inglewood,Los Angeles,33.942269,-118.336316
-13173212.16,4042998.402,1094,08FG1723,Aug-69,2008/05/13 00:00:00+00,915,Inland,Fresh Water,Yes,Storm Drain tributary to Ballona Creek which is a,Los Angeles,Los Angeles,34.105655,-118.336966
-13173350.08,4005263.728,1095,08FG0552,08-0912,2008/01/29 00:00:00+00,1122,Inland,Fresh Water,Yes,Los Angeles River,Los Angeles,Los Angeles,33.824516,-118.338205
-13173350.97,4043483.887,1096,08FG2403,Aug-69,2008/07/18 00:00:00+00,1300,Inland,Fresh Water,Yes,"Catch Basin, Tributary to Los Angeles River",Los Angeles,Los Angeles,34.109266,-118.338213
-13173466.63,4001526.96,1097,08FG1022,08-1862,2008/03/03 00:00:00+00,1000,Marine,Marine,Yes,storm drain,Torrance,Los Angeles,33.796625,-118.339252
-13173510.6,4025462.658,1098,08FG3866,Aug-64,2008/12/05 00:00:00+00,930,Inland,Fresh Water,Yes,Centinela Channel - San Pedro,Inglewood,Los Angeles,33.975122,-118.339647
-13173628.05,4043532.423,1099,08FG3490,Aug-73,2008/11/01 00:00:00+00,1340,Inland,Fresh Water,Yes,Storm Drain,Los Angeles,Los Angeles,34.109627,-118.340702
-13173672.02,4016299.07,1100,08FG3040,Aug-64,2008/09/15 00:00:00+00,1500,Inland,Fresh Water,Yes,storm drain,Hawthorne,Los Angeles,33.90683,-118.341097
-13173980.93,4021472.376,1101,08FG2211,Aug-11,2008/06/30 00:00:00+00,430,Inland,Fresh Water,Yes,Storm Drain,Los Angeles,Los Angeles,33.945391,-118.343872
-13174070.54,4018031.339,1102,08FG3028,Aug-29,2008/09/14 00:00:00+00,1700,Inland,Fresh Water,Yes,Dominguez Channel/Pacific Ocean,Hawthorne,Los Angeles,33.919744,-118.344677
